latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
43.831583,-79.854551,018,030,4537,1507,2025-09-02,1603,L8,low,D
43.638345,-79.844095,018,030,4575,2222,2025-09-02,1603,L8,low,D
43.278078,-79.825797,018,030,4643,3555,2025-09-02,1603,L8,high,D
43.277797,-79.824694,018,030,4646,3556,2025-09-02,1603,L8,medium,D
43.277527,-79.824699,018,030,4646,3557,2025-09-02,1603,L8,high,D
43.277257,-79.824704,018,030,4646,3558,2025-09-02,1603,L8,high,D
43.261694,-79.80874,018,030,4690,3615,2025-09-02,1603,L8,medium,D
43.26277,-79.808349,018,030,4691,3611,2025-09-02,1603,L8,high,D
43.2625,-79.808354,018,030,4691,3612,2025-09-02,1603,L8,medium,D
43.262766,-79.80798,018,030,4692,3611,2025-09-02,1603,L8,medium,D
43.264383,-79.807578,018,030,4693,3605,2025-09-02,1603,L8,medium,D
43.26654,-79.807167,018,030,4694,3597,2025-09-02,1603,L8,medium,D
43.266,-79.807177,018,030,4694,3599,2025-09-02,1603,L8,medium,D
43.266806,-79.806792,018,030,4695,3596,2025-09-02,1603,L8,high,D
43.266536,-79.806797,018,030,4695,3597,2025-09-02,1603,L8,high,D
43.274091,-79.80591,018,030,4697,3569,2025-09-02,1603,L8,high,D
43.27382,-79.805915,018,030,4697,3570,2025-09-02,1603,L8,high,D
43.274087,-79.80554,018,030,4698,3569,2025-09-02,1603,L8,high,D
43.273817,-79.805546,018,030,4698,3570,2025-09-02,1603,L8,high,D
43.269765,-79.805625,018,030,4698,3585,2025-09-02,1603,L8,medium,D
43.269495,-79.80563,018,030,4698,3586,2025-09-02,1603,L8,medium,D
43.264094,-79.805736,018,030,4698,3606,2025-09-02,1603,L8,medium,D
43.267593,-79.804558,018,030,4701,3593,2025-09-02,1603,L8,high,D
43.2684,-79.804173,018,030,4702,3590,2025-09-02,1603,L8,high,D
43.268129,-79.804178,018,030,4702,3591,2025-09-02,1603,L8,medium,D
43.267589,-79.804189,018,030,4702,3593,2025-09-02,1603,L8,high,D
43.267856,-79.803814,018,030,4703,3592,2025-09-02,1603,L8,medium,D
43.267585,-79.803819,018,030,4703,3593,2025-09-02,1603,L8,medium,D
43.273778,-79.801849,018,030,4708,3570,2025-09-02,1603,L8,high,D
43.274584,-79.801464,018,030,4709,3567,2025-09-02,1603,L8,high,D
43.27372,-79.796305,018,030,4723,3570,2025-09-02,1603,L8,medium,D
42.23642,-79.756226,018,030,4888,7408,2025-09-02,1603,L8,low,D
43.400714,-79.724515,018,030,4910,3097,2025-09-02,1603,L8,high,D
43.57366,-79.636533,018,030,5137,2453,2025-09-02,1603,L8,high,D
43.115797,-79.528376,018,030,5458,4143,2025-09-02,1603,L8,high,D
